Run Fondo;Nombre Fondo;FFM_6010100;FFM_6010211;FFM_6010212;FFM_6010300;FFM_6010400;FFM_6010500;FFM_6010600;FFM_6010700;FFM_6010800;FFM_6010900;FFM_6011000;FFM_TIR_6011111;FFM_PAR_6011111;FFM_REL_6011111;FFM_6011112;FFM_6011113;FFM_6011114;FFM_6011200;FFM_6011300;FFM_6011400;FFM_6011511;FFM_6011512;FFM_6011513
8011;VISION MONEY MARKET;BSECK41013;97053000;2;CL;BB;01/10/2023;1;AA;0035;10000;UF;10.03;;;1;365;RC;360404;$$;CL;0;.004;.149
8011;VISION MONEY MARKET;BSECK41013;97053000;2;CL;BB;01/10/2023;1;AA;0035;4000;UF;10.03;;;1;365;RC;144161;$$;CL;0;.002;.059
8011;VISION MONEY MARKET;BSTD090216;97036000;K;CL;BB;01/02/2024;1;AAA;0014;10000;UF;6.82;;;1;365;RC;352053;$$;CL;0;.001;.145
8011;VISION MONEY MARKET;BSTD090216;97036000;K;CL;BB;01/02/2024;1;AAA;0014;5000;UF;6.82;;;1;365;RC;176027;$$;CL;0;0;.073
8011;VISION MONEY MARKET;BSTD100216;97036000;K;CL;BB;01/08/2024;1;AAA;0014;2000;UF;5.12;;;1;365;RC;70373;$$;CL;0;0;.029
8011;VISION MONEY MARKET;BSTDEC0913;97036000;K;CL;BB;01/09/2023;1;AAA;0014;27000;UF;9.95;;;1;365;RC;983456;$$;CL;0;.002;.405
8011;VISION MONEY MARKET;BSTDEC0913;97036000;K;CL;BB;01/09/2023;1;AAA;0014;12000;UF;9.95;;;1;365;RC;437091;$$;CL;0;.001;.18
8011;VISION MONEY MARKET;BSTDEC0913;97036000;K;CL;BB;01/09/2023;1;AAA;0014;10000;UF;9.95;;;1;365;RC;364521;$$;CL;0;.001;.15
8011;VISION MONEY MARKET;BSTDEF0114;97036000;K;CL;BB;01/01/2024;1;AAA;0014;17000;UF;8;;;1;365;RC;601111;$$;CL;0;.001;.248
8011;VISION MONEY MARKET;BSTDEF0114;97036000;K;CL;BB;01/01/2024;1;AAA;0014;16000;UF;8;;;1;365;RC;565286;$$;CL;0;.001;.233
8011;VISION MONEY MARKET;BSTDSA0714;97036000;K;CL;BB;01/07/2024;1;AAA;0014;7000;UF;5.44;;;1;365;RC;247655;$$;CL;0;0;.102
8011;VISION MONEY MARKET;BSTDSA0714;97036000;K;CL;BB;01/07/2024;1;AAA;0014;4000;UF;5.44;;;1;365;RC;141517;$$;CL;0;0;.058
8011;VISION MONEY MARKET;BTU0150326;60805000;0;CL;BTU;01/03/2026;1;NA;0000;1000;UF;2.93;;;1;365;RC;35009;$$;CL;0;0;.014
8011;VISION MONEY MARKET;FNBCI-031023;97006000;6;CL;DPC;03/10/2023;1;N-1;0013;4000000000;$$;.83;;;1;30;NL;3927429;$$;CL;0;.006;1.619
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;400000000;$$;.83;;;1;30;NL;399656;$$;CL;0;.001;.165
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;1050000000;$$;.83;;;1;30;NL;1049066;$$;CL;0;.002;.432
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;500000000;$$;.83;;;1;30;NL;499565;$$;CL;0;.001;.206
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;100000000;$$;.83;;;1;30;NL;99909;$$;CL;0;0;.041
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;100000000;$$;.83;;;1;30;NL;99909;$$;CL;0;0;.041
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;1250000000;$$;.83;;;1;30;NL;1248833;$$;CL;0;.002;.515
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;666364798;$$;.83;;;1;30;NL;665746;$$;CL;0;.001;.274
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;70000000;$$;.83;;;1;30;NL;69934;$$;CL;0;0;.029
8011;VISION MONEY MARKET;FNBCI-040823;97006000;6;CL;DPC;04/08/2023;1;N-1;0013;30000000;$$;.83;;;1;30;NL;29972;$$;CL;0;0;.012
8011;VISION MONEY MARKET;FNBCI-040923;97006000;6;CL;DPC;04/09/2023;1;N-1;0013;350000000;$$;.85;;;1;30;NL;346564;$$;CL;0;0;.143
8011;VISION MONEY MARKET;FNBCI-041023;97006000;6;CL;DPC;04/10/2023;1;N-1;0013;250000000;$$;.83;;;1;30;NL;245419;$$;CL;0;0;.101
8011;VISION MONEY MARKET;FNBCI-050923;97006000;6;CL;DPC;05/09/2023;1;N-1;0013;802250000;$$;.85;;;1;30;NL;793822;$$;CL;0;.001;.327
8011;VISION MONEY MARKET;FNBCI-070823;97006000;6;CL;DPC;07/08/2023;1;N-1;0013;4000000000;$$;.86;;;1;30;NL;3992733;$$;CL;0;.006;1.646
8011;VISION MONEY MARKET;FNBCI-080923;97006000;6;CL;DPC;08/09/2023;1;N-1;0013;3718610456;$$;.85;;;1;30;NL;3675775;$$;CL;0;.005;1.515
8011;VISION MONEY MARKET;FNBCI-080923;97006000;6;CL;DPC;08/09/2023;1;N-1;0013;1700000000;$$;.85;;;1;30;NL;1680418;$$;CL;0;.002;.693
8011;VISION MONEY MARKET;FNBCI-080923;97006000;6;CL;DPC;08/09/2023;1;N-1;0013;1700000000;$$;.85;;;1;30;NL;1680207;$$;CL;0;.002;.693
8011;VISION MONEY MARKET;FNBCI-091123;97006000;6;CL;DPC;09/11/2023;1;N-1;0013;200000000;$$;.81;;;1;30;NL;194426;$$;CL;0;0;.08
8011;VISION MONEY MARKET;FNBIC-040823;97080000;K;CL;DPC;04/08/2023;1;N-1;0002;50000000;$$;.86;;;1;30;NL;49953;$$;CL;0;0;.021
8011;VISION MONEY MARKET;FNBIC-040923;97080000;K;CL;DPC;04/09/2023;1;N-1;0002;430000000;$$;.85;;;1;30;NL;425516;$$;CL;0;.004;.175
8011;VISION MONEY MARKET;FNBIC-041023;97080000;K;CL;DPC;04/10/2023;1;N-1;0002;1500000000;$$;.82;;;1;30;NL;1472205;$$;CL;0;.015;.607
8011;VISION MONEY MARKET;FNBIC-080823;97080000;K;CL;DPC;08/08/2023;1;N-1;0002;500000000;$$;.86;;;1;30;NL;498923;$$;CL;0;.005;.206
8011;VISION MONEY MARKET;FNBCI-100823;97006000;6;CL;DPC;10/08/2023;1;N-1;0013;1000000000;$$;.85;;;1;30;NL;997224;$$;CL;0;.001;.411
8011;VISION MONEY MARKET;FNBCI-100823;97006000;6;CL;DPC;10/08/2023;1;N-1;0013;1000000000;$$;.85;;;1;30;NL;997240;$$;CL;0;.001;.411
8011;VISION MONEY MARKET;FNBCI-100823;97006000;6;CL;DPC;10/08/2023;1;N-1;0013;100000000;$$;.85;;;1;30;NL;99731;$$;CL;0;0;.041
8011;VISION MONEY MARKET;FNBCI-100823;97006000;6;CL;DPC;10/08/2023;1;N-1;0013;600000000;$$;.85;;;1;30;NL;598366;$$;CL;0;.001;.247
8011;VISION MONEY MARKET;FNBCI-101023;97006000;6;CL;DPC;10/10/2023;1;N-1;0013;500000000;$$;.83;;;1;30;NL;490052;$$;CL;0;.001;.202
8011;VISION MONEY MARKET;FNBCI-101023;97006000;6;CL;DPC;10/10/2023;1;N-1;0013;281561133;$$;.83;;;1;30;NL;275896;$$;CL;0;0;.114
8011;VISION MONEY MARKET;FNBCI-101023;97006000;6;CL;DPC;10/10/2023;1;N-1;0013;1500000000;$$;.83;;;1;30;NL;1470156;$$;CL;0;.002;.606
8011;VISION MONEY MARKET;FNBCI-101023;97006000;6;CL;DPC;10/10/2023;1;N-1;0013;1250000000;$$;.83;;;1;30;NL;1223451;$$;CL;0;.002;.504
